,category_round_id,round_name,score,combined_stages,athlete_id,rank,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name
0,6833,Qualification,20.0,"[{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]",1226,1,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
1,6833,Qualification,36.0,"[{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]",1161,2,Mia,KRAMPL,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
2,6833,Qualification,42.0,"[{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]",3465,3,Elnaz,REKABI,,,IRI,49,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
3,6833,Qualification,75.0,"[{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]",3357,4,Tamara,ULZHABAYEVA,,,KAZ,47,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
4,6833,Qualification,90.0,"[{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]",3113,5,Hannah,MEUL,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
5,6833,Qualification,100.0,"[{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]",4320,6,Roxana,WIENAND,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
6,6833,Qualification,132.0,"[{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]",1486,7,Ievgeniia,KAZBEKOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
7,6833,Qualification,242.0,"[{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]",1517,8,Tetiana,KOLKOTINA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
8,6833,Qualification,360.0,"[{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]",3524,9,Mahya,DARABIAN,,,IRI,49,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
9,6833,Qualification,472.5,"[{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]",1488,10,Margaryta,ZAKHAROVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
10,6833,Qualification,600.0,"[{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]",1526,11,Nika,POTAPOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
